SOORTSCODE;ABUNDANTIE;WAARNEMER1;WAARNEMER2;WAARNEMER3;Datum;MAAND;JAAR;SCHAAL;OPMERKING;X_PROJ;Y_PROJ;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22637,03;198946,05;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22645,27;198946,47;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22642,99;198943,15;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22623,11;199022,90;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;30/08/2016;8;2016;Foretrex201;;22662,17;198954,77;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;30/08/2016;8;2016;Foretrex201;klein frankrijk;22609,81;198836,09;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;30/08/2016;8;2016;Foretrex201;klein frankrijk;22603,56;198809,33;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;30/08/2016;8;2016;Foretrex201;klein frankrijk;22598,29;198771,58;;;;;;;;;;;;;
gentnuli;e;gompw;;;7/09/2016;9;2016;Foretrex201;;23232,66;199269,19;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;12/08/2016;8;2016;Foretrex201;;22551,60;199103,89;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22625,92;199159,48;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22622,74;199164,39;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22554,76;199110,99;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22561,93;199119,85;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22499,12;199142,98;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22492,43;199138,31;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22490,73;199120,35;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22560,92;199122,82;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22585,89;199129,53;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22501,60;199130,11;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22576,68;199147,90;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22545,47;199131,66;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22549,77;199129,51;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22577,64;199143,41;;;;;;;;;;;;;
gentnuli;d;verce;;;19/08/2016;8;2016;Foretrex201;;22752,26;198410,29;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;22/08/2016;8;2016;Foretrex201;;22890,62;199046,66;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;22/08/2016;8;2016;Foretrex201;;22811,53;199081,67;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;22/08/2016;8;2016;Foretrex201;;22782,52;199032,37;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;22/08/2016;8;2016;Foretrex201;;22769,59;198996,88;;;;;;;;;;;;;
